postal,X,Y,
49392,29767.5498,29891.7107,
49393,29769.8488,29886.8963,
49394,29772.5443,29882.0779,
49395,29775.206,29877.1576,
49396,29777.891,29872.1462,
49397,29777.4655,29864.9719,
49398,29781.153,29858.7968,
49400,29796.5365,29842.8529,
49401,29799.7899,29837.7995,
49402,29803.2341,29832.8383,
49403,29806.6142,29827.6907,
49404,29809.9064,29822.6772,
49405,29813.1771,29817.7446,
49406,29816.3879,29813.0112,
49407,29824.5481,29796.786,
49409,NA,NA,
49411,29777.7684,29824.6499,
49412,29774.6655,29828.471,
49413,29772.4287,29832.5535,
49415,29763.9788,29843.1996,
49416,29760.9692,29846.8076,
49417,29758.0301,29850.395,
49418,29755.049,29854.0694,
49420,29749.2817,29861.2168,
49421,29746.6598,29864.8675,
49422,29743.9567,29868.4778,
49423,29741.148,29872.1486,
49426,29735.8499,29884.5986,
49427,29734.305,29888.8099,
49428,29732.8488,29893.1568,
49429,29731.4128,29897.2089,
49430,29730.1463,29901.3673,
49432,29727.4442,29909.3321,
49433,29725.7831,29917.9413,
49434,29714.9039,29967.8179,
49435,29715.5807,29973.2998,
49436,29715.8211,29979.2324,
49438,29717.1652,29991.0674,
49439,29718.0698,30008.4585,
49441,29718.522,30014.2917,
49478,NA,NA,
49479,29726.8607,29692.8164,
49480,29671.0613,29638.7705,
49481,29739.0108,29576.0862,
49482,29701.0446,29577.3532,
49483,29815.5454,29524.1934,
49493,NA,NA,
49513,29754.0219,29719.4388,
49514,29819.1716,29700.7808,
49515,29733.0094,29767.6746,
49560,29616.702,29487.3,
49561,29619.8466,29544.6631,
49563,29619.8466,29544.6631,
49565,29619.8466,29544.6631,
49567,29619.8466,29544.6631,
49568,29619.8466,29544.6631,
49570,29650.0328,29545.4639,
49704,29914.3724,29428.9357,
49705,29909.5983,29499.9808,
49710,29796.4209,29398.3101,
49711,29790.3291,29380.8887,
49712,29842.438,29471.8198,
49745,29793.1533,29848.3332,
49747,29785.4878,29865.4052,
49748,29788.8836,29867.936,
49782,NA,NA,
49812,NA,NA,
49817,29851.9732,29813.7904,
49818,29839.336,29813.3393,
49819,29837.88,29829.0651,
49820,29834.2246,29833.7586,
49821,29830.6365,29838.502,
49822,29827.2639,29843.4121,
49824,29820.2517,29853.1138,
49825,29816.8013,29857.8212,
49826,29813.0573,29862.6875,
49828,29805.8321,29875.8609,
49829,29801.0898,29880.6123,
49830,29798.5622,29884.9417,
49831,29796.275,29889.5671,
49834,29789.4938,29903.9581,
49835,2001544,NA,NA
11958,NA,NA,
18951,32069.5756,29259.2059,
18952,NA,NA,
18953,31487.6618,29668.8205,
18955,30915.9476,29611.3757,
18956,30781.1598,29419.4413,
18960,29996.2802,29044.3275,
18961,29963.0584,28980.4176,
18969,30122.2577,29073.0373,
18970,30918.6176,29578.7142,
18971,31048.9317,29557.0651,
18972,30809.0635,29735.1321,
18976,NA,NA,
18981,30285.3351,29122.8625,
18982,30346.8074,29062.9892,
18983,30277.9106,29099.4044,
18984,30242.706,29213.1683,
18985,30152.3828,29246.505,
18986,30152.3828,29246.505,
18987,30152.3828,29246.505,
