Artease ,3 Phillip Street #01-01
The Book Cafe ,Martin Road #01-02 (Seng Kee Building)
Baker & Cook ,38A Martin Road #01-01
Common Man Coffee Roasters ,22 Martin Road #01-00
Laurents Cafe & Chocolate Bar ,Mohammad Sultan Road #01-11
Kith Cafe ,Rodyk Street #01-28
Tobys Estate ,Rodyk Street #01-03/04
eM by the River ,Nanson Road #01-05 (The Gallery Hotel)
Hummerstons ,Unity Street#02-14 (Robertson Walk)
The Fabulous Baker Boy ,River Valley Road#01-15 (The Foothills)
Five and Dime ,River Valley Road
Swirl Art Cafe ,417 River Valley Road
Croute ,491 River Valley Road
Epicurious Cafe ,60 Robertson Quay#01-02
Smitten Cafe ,60 Robertson Quay#01-11
Boomarang ,60 Robertson Quay#01-15
Anthesis ,86 Robertson Quay #01-01
The Merry Men ,86 Robertson Quay #01-02
Bar Bar Black Sheep ,Robertson Quay #01-04
Kith Cafe ,31 Ocean Way Quayside Isle #01-08 (Sentosa Cove)
Artisan Boulangerie ,1 Harbourfront Walk #01-163/164 (Vivo City)
Prive Bakery Cafe ,Keppel Bay Vista Ground Floor (Keppel Bay Marina)
The Marshmallow Tree ,Telok Blangah Drive#01-85
Eco Gourmet Cafe ,30 Labrador Villa Road
ROOM ,460 Alexandra Road #01-18 (Alexandra Retail Centre)
Wild Honey ,Scotts RoadLevel 3 (Scotts Square)
Antoniette ,390 Orchard Road B1-08/09/10C (Palais Renaissance)
PS Cafe ,Orchard Road#02-09A (Palais Renaissance)
Marmalade Pantry ,2 Orchard Turn #03-22 (ION)
Paris Baguette Cafe ,435 Orchard Road #02-48/53 (Wisma Atria)
Pique Nique ,Orchard Road#B1-01 (Ngee Ann City)
Marmalade Toast ,Orchard Road(Ngee Ann City)
The Providore ,333A Orchard Road #02-05 (Mandarin Gallery)
Antoniette ,333A Orchard Road #02-33/34 (Mandarin Gallery)
Wild Honey,333AOrchard Road #03-02 (Mandarin Gallery)
Jones the Grocer,333AOrchard Road #04-21/23 (Mandarin Gallery)
Artease ,8 Grange Road #01-03 (Cathay Cineleisure Orchard)
Oriole Cafe & Bar ,96 Somerset Road #01-01 (Pan Pacific Serviced Suites)
KPO Cafe & Bar ,Killiney Road (Killney Post Office)
Freshly Baked by Le Bijoux ,57 Killiney Road
Artisan Boulangerie ,118 Killiney Road #01-01
Myartspace Cafe ,Orchard Road (Istana Park)
Nanas Green Tea ,68 Orchard Road #03-80/81/82 (Plaza Singapura)
Hoshino Coffee ,Orchard Road#03-84(Plaza Singapura)
Createaf Waffles ,Handy Road #01-02 (The Cathay)
Kith Cafe ,Penang Road#01-01E (Park Mall)
Wild Rocket at Mount Emily ,Upper Wilkie RoadGF (Hangout @ Mount Emily)
Fine Palate Cafe ,Waterloo Street#01-04/05
Food For Thought ,Queen Street
The Basement Cafe ,80 Stamford Road #B1-62(Singapore Management University)
Food For Thought ,93 Stamford Road #01-04/05 (National Museum)
Tiong Bahru Bakery ,North Bridge Road#B1-11/12 (Raffles City Shopping Centre)
Commune Cafe & Bistro ,Raffles Boulevard#02-50(Millennia Walk)
Patisserie G ,Raffles Boulevard#01-40(Millennia Walk)
Tart Blanc ,9 Raffles Boulevard #01-102 (Millennia Walk)
Cups N Canvas ,Selegie Road
Strictly Pancakes ,Prinsep Street
Hungry Chimps ,64A Prinsep Street #02-01
Lowercase ,McNally StreetBlock D #01-01
Temporium ,72-74 Dunlop Street
Artichoke Cafe ,Middle Road
I Am ,North Bridge Road #01-01
Artistry ,17 Jalan Pinang
Espressolab ,Bali Lane
Maison Ikkoku ,Kandahar Street (Heritage Centre)
Dong Po Colonial Cafe ,56 Kandahar Street
Working Title ,48 Arab Street
CAD Cafe ,23 Haji Lane
Symmetry ,Jalan Kubor#01-01
La Marelle Cafe & Boutique ,Baghdad Street
A for Arbite ,28 Aliwal Street #01-01(Aliwal Arts Centre)
EatPlayLove Cafe ,Aliwal Street #01-07 (Aliwal Arts Centre)
Tolidos Espresso Nook ,462 Crawford Lane
The Coffee Shot ,103 Lavender Street
Butter Studio ,147 Jalan Besar
Suprette ,383 Jalan Besar (Kam Leng Hotel)
The Tiramisu Hero Cafe ,121 Tyrwhitt Road
Chye Seng Huat Hardware Coffee Bar ,Tyrwhitt Road
Antoinette ,30 Penhas Road
The Bravery ,Horne Road
Windowsill in the Woods,78 Horne Road
Letoile Cafe ,Owen Road
Cakes Literally ,Owen Road
Jewel Cafe and Bar ,129 Rangoon Road
The Little Prince Cafe ,62 Somme Road #01-03
The Sweet Movement ,62 Somme Road#01-01
La Ristrettos ,10 Sinaran Drive #08-37 (Novena Medical Centre)
Wheelers Yard ,28 Lorong Ampas
Little Part 1 Cafe ,Jasmine Road (Adelphi Park Estate)
Wafflelicious ,21 Upper Thomson Road
Little Pancakes ,200 Upper Thomson Road #01-04 (Thomson Imperial Court)
Old School Delights ,Upper Thompson Road
Habitat Coffee ,233 Upper Thomson Road
Salted Caramel ,246 Upper Thomson Road
OZ Specialty Coffee,11 Sin Ming Road #01-13 (Thomson V Two)
Fluffy White Cloud Dream Cafe ,Sin Ming Road #01-19(Thomson V Two)
November 8 Cafe ,11 Sin Ming Road #01-30 (Thomson V Two)
Yahava Koffee ,4 Jalan Gelenggang
Cremier ,128 Toa Payoh Lorong 1 #01-835
GRUB ,Ang Mo Kio Avenue 1 (Bishan Park)
The Cornerstone ,1380 Ang Mo Kio Avenue 1 (Bishan Park)
Canopy Garden Dining & Bar ,Ang Mo Kio Avenue 1(Bishan Park)
Lolas Cafe ,5 Simon Road
Arbite Cafe ,66A Serangoon Garden Way
Artease ,261 Serangoon Central #01-29
Ciel Patisserie ,124 Hougang Avenue 1 #01-1444
Chillax Massage Cafe ,Maju AvenueLevel 1
Ice Edge Cafe ,2 Kovan Road
Hatter Street ,212 Hougang Street 21 #01-333
Rokeby Cafe,15-9Jalan Riang
Wimbly Lu,15-2Jalan Riang
The Coffee Daily ,Brighton Crescent
Sun Ray Cafe ,Brighton Crescent
Backstage Cafe ,158 Kallang Way
Maple & Market ,Cassia Crescent #01-82
Loysels Toy Cafe ,Kampong Bugis #01-01 (Sam Tat Building)
Brawn and Brains ,Guillemard Road #01-07 (Singapore Badminton Hall)
