east,Changi City Point,486038,"5 Changi Business Park Central 1
#01-25
Changi City Point
Singapore 486038
Tel: 6636 1956","Mon - Thu
Fri & Eve of PH
Sat
Sun
Peak Hours
Sat & Sun","0730 - 2200 hrs
0730 - 2300 hrs
0800 - 2300 hrs
0800 - 2200 hrs
All day"
east,Changi General Hospital,,"2 Simei Street 3, Level 1
Main Atrium,
Changi General Hospital
Tel: 6260 4661","Mon - Fri
Sat & Sun","0730 - 2200 hrs
0800 - 2200 hrs"
east,Jalan Jamal (Siglap),457602,"No. 3 Jalan Jamal
Singapore 457602
Tel: 6242 9465","Mon - Thu
Fri
Sat & Eve of PH
Sun
Peak Hours
Mon - Thu
Fri – Sun, Eve of PH & PH","0730 - 2300 hrs
0730 - 0100 hrs
0730 - 0100 hrs
0730 - 2300 hrs
1300 - 1500 hrs
All day"
east,Kallang Leisure Park,397693,"5 Stadium Walk
#01-11 Leisure Park Kallang
Singapore 397693
Tel: 6348 0171","Mon – Thu, Sun & PH
Fri, Sat & Eve of PH
Peak Hours
Mon - Fri
Sat, Sun & Eve of PH","0800 - 2300 hrs
0800 - 0000 hrs
1200 - 2000 hrs
All day"
east,Parkway Parade,449269,"80 Marine Parade Road
#01-10A/B
Parkway Parade
Singapore 449269
Tel: 6344 8713","Sun - Thu
Fri , Sat, Eve of PH & PH
Peak Hours
Mon - Fri
Sat & Sun","0800 - 2300 hrs
0800 - 0000 hrs
1300 - 1700 hrs
All day"
east,Tampines Mall,529510,"4 Tampines Central 5
#01-50 Tampines Mall
Singapore 529510
Tel: 6787 3640","Everyday
Peak Hours
Mon - Thu
Fri, Sat & Sun","24 hrs
1200 hrs till closing
All day"
east,Tampines West Community Club,529705,"5 Tampines Ave 3, #01-09
Singapore 529705
Tel: 6783 9341","Sun to Thu:
Fri & Sat:
Peak Hours
Mon to Fri:
Sat & Sun:","0800 - 2300 hrs
0800 - 0100 hrs
1200 - 1800 hrs
2000 hrs to closing
1200 hrs to closing"
orchard,313@somerset,238895,"313    Orchard Road
313@somerset
#02-38/39
Singapore  238895
Tel: 67357957","Sun - Thu
Fri - Sat & Eve of PH","0800 - 2200 hrs
0800 - 2330 hrs"
orchard,Centrepoint,238843,"176 Orchard Road
#01-41/42 Centrepoint
Singapore 238843
Tel: 6732 5916","Mon - Fri, Sun & Eve of PH
Sat","0800 - 2200 hrs
0800 - 2300 hrs"
orchard,Delfi Orchard,238876,"402 Orchard Road
#01-01
Singapore 238876
Tel: 6235 4810","Sun - Thu
Fri & Sat","7am -11.30pm
7am-1am"
orchard,ION Orchard,248652,"ION Orchard
238 Orchard Blvd
#B3-59
Singapore 248652
Tel: 6509 8028","Everyday
Peak Hours
Mon - Thu
Fri - Sun","0800 - 2300 hrs
1230 - 2130
                             hrs
1200 - 2230
                             hrs"
orchard,Liat Towers,238881,"541 Orchard Rd
#01-01A
Liat Towers
Singapore 238881
Tel: 6736 2665","Everyday
Peak Hours
Mon - Fri
Sat, Sun & PH","24 hrs
1200 - 2300 hrs
All day"
orchard,Orchard Cineleisure,239695,"8 Grange Road #01-K1
Cathay Cineleisure Orchard
Singapore 239695
Tel : 6733 0684",Everyday,24 hrs
orchard,Orchard Point,238842,"160 Orchard Road
#BK-01 Orchard Point Mall
Singapore 238842
Tel: 6734 5605","Mon - Thu, Sun & PH
Fri, Sat & Eve of PH
Peak Hours
Mon - Fri
Mon - Fri
Sat & Sun","0730 - 2300 hrs
0730 - 0100 hrs
1300 - 1800 hrs
2100 - 2300 hrs
1400 - 2300 hrs"
orchard,Pacific Plaza,228210,"9 Scotts Road
#01-01A Pacific Plaza
Singapore 228210
Tel: 6736 4315","Everyday
Peak Hours
Mon - Fri
Sat, Sun & PH","24 hrs
1300 - 0000 hrs
All Day"
orchard,Paragon,238859,"290 Orchard Road
#B1-34
Paragon Shopping Centre
Singapore 238859
Tel: 6235 5721","Everyday
Peak Hours
Mon - Sun","0730 - 2300 hrs
0900 - 2100 hrs"
orchard,Plaza Singapura,238839,"68 Orchard Road
#01-53 Plaza Singapura
Singapore 238839
Tel: 6837 0501","Everyday
Peak Hours
Mon - Thu
Fri - Sun & PH",24 hrs
orchard,Tanglin Mall,247933,"163 Tanglin Road
#01-13 Tanglin Mall
Singapore 247933
Tel: 6836 1524","Mon - Fri
Sat & Sun
Peak Hours
Everyday","0700 - 2200 hrs
0730 - 2200 hrs
0900 - 1700 hrs"
orchard,The Cathay,229233,"2 Handy Road
The Cathay #01-05
Singapore 229233
Tel: 6835 7490","Everyday
Peak Hours
Mon - Fri
Sat & Sun","24 hrs
1400 - 2300 hrs
1000 - 2300 hrs"
orchard,Wilkie Edge,228095,"8 Wilkie Road
#01-19/20 Wilkie Edge
Singapore 228095
Tel: 6334 2579","Everyday
Peak Hours
Everyday","0700 - 2230 hrs
1100 - 1900 hrs"
orchard,Wisma Atria,238877,"435 Orchard Road
#03-35 to #03-40
Wisma Atria
Singapore 238877
Tel: 6732 1768","Everyday
Peak Hours
Mon - Thu
Fri - Sun","0800 - 2300 hrs
1200 - 1900 hrs
1200 - 2200 hrs"
marina,Bugis Junction,188024,"230 Victoria Street
#01-15 Seiyu Dept Store
Singapore 188024
Tel: 6334 7671","Mon - Thurs & Sun
Fri, Sat & Eve of PH
Peak Hours
Mon - Fri
Sat & Sun","0730 - 2300 hrs
24 hrs
0800 - 2200 hrs
1000 - 2300 hrs"
