"9 Bishan Place
#01-34
Singapore 579837",6259 3025,"Sun - Thu & PH: 7am - 11.30pm
Fri,Sat & Eve of PH: 7am - 1230mn",579837
"1 Jurong West Central
#01-16E Jurong Point
Singapore 648886",6791 3755,"Sun - Thu & PH: 8am - 11pm
Fri, Sat & Eve of PH: 8am - 12mn",648886
"5 Stadium Walk
#01-10 Leisure Park Kallang
Singapore 397693",6348 7641,"Sun - Thu & PH: 8am - 10pm
Fri, Sat & Eve of PH: 8am - 12mn",397693
"1 Maju Avenue
#B1-01/02 & #B1-26, myVillage at Serangoon Garden
Singapore 556679",6634 5123,"Mon-Thu: 7.30am - 11pm
Fri,Sat & Eve of PH: 7am - 12am
Sun & PH: 7am -11pm",556679
"80 Marine Parade Road
#B1-83H Parkway Parade
Singapore 449269",6345 0467,"Sun-Thu & PH : 8am - 10pm
Fri, Sat and Eve PH : 8am - 10.30pm",449269
"1 EXPO Drive, #02-01, 
Foyer 1, Max Atria.
Singapore 486150",6544 2642,"Non-Exhibition Days: 8.30am - 6pm 
Exhibition Days: 8am - 8pm",486150
"1 Expo Drive
#01-65 2nd Foyer Admin Building
Singapore 486150",6260 8353,"Non Exhibition Days: 8.30am - 6pm
Exhibition Days: 8am - 8pm",486150
"10 Eunos Road
#01-01 Singapore Post Centre
Singapore 408600",6748 4441,"Sun - Thu & PH: 7am - 11pm
Fri, Sat & Eve of PH: 7am - 12am",408600
"10, Tampines Central 1
#03-K3/4/5
Tampines 1
Singapore 529536",6783 2788,"Mon - Fri: 9am to 10pm
Sat, Sun, eve of PH, PH: 8am to 10pm",529536
"422 Upper Bukit Timah Rd.
The Rail Mall
Singapore 678051",67648210,"Sun to Thu & PH: 7am to 11pm
Fri, Sat & Eve PH: 7am to 2am",678051
"302 Tiong Bahru Road
#01-33A Tiong Bahru Plaza
Singapore 168732",6274 3148,Mon - Sun: 7.30am to 11pm,168732
"1 Bukit Batok Central Link
#01-09 West Mall
Singapore 658713",6861 7789,"Mon - Thu: 8am - 11pm
Fri, Sat & Eve of PH: 8am - 12mn",658713
"Departure/Transit Lounge West
#02-44 Terminal 1 Singapore Changi Airport
Singapore 819642",6543 1642,24 hours,819642
"Departure/Check-in Hall North
#026-017 Terminal 2 Singapore Changi Airport
Singapore 819643",6543 4762,24 hours,819643
"65 Airport Boulevard Transit Hall Central
#02-36 Terminal 3 Singapore Changi Airport S(819653)",6447 9557,24 hours,819653
"50 Beach View
#01-02
Singapore 098604",6270 6218,"Mon - Thurs: 9am - 10pm
Fri, Sat & Sun: 8am - 10pm",098604
